Source,Target,Weight
Adrilastra,Adrilastra,1.0
Adrilastra,_mundus,0.0118
Adrilastra,mrenau,0.0164
Adrilastra,sorayapsoe,0.0662
Adrilastra,JVMariBoso,0.0056
Adrilastra,ruanojavier,0.0098
Adrilastra,soniafetesoro,0.0646
Adrilastra,ManoloMonereo,0.0044
Adrilastra,frdelatorre,0.018
Adrilastra,luzseijo,0.0612
Adrilastra,CesarJRamos,0.083
Adrilastra,sanchezcastejon,0.001
Adrilastra,lciuro,0.005
Adrilastra,Mjesusserranoj,0.0768
Adrilastra,GirautaOficial,0.0088
Adrilastra,herrerobono,0.0064
Adrilastra,martintoledano,0.0096
Adrilastra,isabelrguez,0.0416
Adrilastra,vicpiriz1975,0.0086
Adrilastra,RitaBosaho,0.0086
Adrilastra,casanyeta,0.0048
Adrilastra,felipe_sicilia,0.027
Adrilastra,PiliCancela,0.0734
Adrilastra,SSumelzo,0.141
Adrilastra,cesarluena,0.0658
Adrilastra,antoniotrevin,0.0836
Adrilastra,JaumeMoyaM,0.0132
Adrilastra,TeoGarciaEgea,0.013
Adrilastra,AntonioHurtado,0.0186
Adrilastra,Irene_Montero_,0.0176
Adrilastra,AnaZurita7,0.005
Adrilastra,VeraNoelia,0.0092
Adrilastra,lidiaguinart,0.055
Adrilastra,FernanVello,0.004
Adrilastra,vendrellj,0.0176
Adrilastra,PericoArrojo,0.0082
Adrilastra,pilarmarcosd,0.0172
Adrilastra,ionebelarra,0.013
Adrilastra,FranciscoIgea,0.0102
Adrilastra,Carre1Ascension,0.0032
Adrilastra,PabloBellido_Az,0.0474
Adrilastra,odonelorza2011,0.1804
Adrilastra,mdcospedal,0.0062
Adrilastra,perejoanpons,0.1214
Adrilastra,IgnasiCandela,0.0138
Adrilastra,JuLMilla,0.0558
Adrilastra,jaimedeolano,0.0104
Adrilastra,micaela_navarro,0.0302
Adrilastra,AAlvarezAlvarez,0.0998
Adrilastra,joanmena,0.0138
Adrilastra,joanbaldovi,0.0124
Adrilastra,jsalvadorduch,0.0088
Adrilastra,pepecanonucia,0.015
Adrilastra,antonipostius,0.001
Adrilastra,AvelinoPP,0.0042
Adrilastra,LuisSalvador,0.0084
Adrilastra,herick_campos,0.0798
Adrilastra,ierrejon,0.0224
Adrilastra,EBataller,0.011
Adrilastra,MayoralRafa,0.018
Adrilastra,mrhciudadanos,0.0092
Adrilastra,ma_bustamante84,0.0044
Adrilastra,MartaGlezVzqz,0.008
Adrilastra,emilio_delrio,0.0074
Adrilastra,MLorenzo2018,0.0038
Adrilastra,mapaniagua,0.007
Adrilastra,BeatrizEscu,0.0086
Adrilastra,BienveDeArriba,0.0068
Adrilastra,juanmalpr,0.0152
Adrilastra,EvaGSempere,0.0042
Adrilastra,Pablo_Iglesias_,0.0194
Adrilastra,diego__clemente,0.0114
Adrilastra,anamarcelloana,0.01
Adrilastra,Hernanzsofia,0.0344
Adrilastra,estercapella,0.0128
Adrilastra,miriamnoguerasM,0.0096
Adrilastra,VirginiaSalmeCs,0.0068
Adrilastra,mariagv,0.1688
Adrilastra,emeterina,0.0182
Adrilastra,pedroacedo,0.004
Adrilastra,Guadalupem1960,0.0654
Adrilastra,SimancasRafael,0.067
Adrilastra,juanviperezaras,0.0092
Adrilastra,_Irene_Rivera,0.0036
Adrilastra,elenabastidasb,0.0094
Adrilastra,DolorsMM,0.0054
Adrilastra,joaquintorrevie,0.0098
Adrilastra,maherediadiaz,0.038
Adrilastra,NachoSAmor,0.0864
Adrilastra,jruizcarbonell,0.2004
Adrilastra,NTremino,0.0036
Adrilastra,JATorresMora,0.1054
Adrilastra,MarcLamua,0.0418
